Player 1,Player 1 - Deck Name,Player 2,Player 2 - Deck Name,Wins,Losses,Report Type,Date,Color 1,Color 2,Ink 1,Ink 2,Hardcore?,Field1,Season
Ruby/Amber,Mufasa,Ruby/Amber,Mufasa,496,496,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Red/Orange - Mufasa: Total Wins: 496 || Total Losses: 496 || Win Rate: 50.00%,Season 3
Ruby/Amber,Mufasa,Emerald/Steel,Aggro Discard,1075,1022,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Green/Grey - Aggro Discard: Total Wins: 1075 || Total Losses: 1022 || Win Rate: 51.26%,Season 3
Ruby/Amber,Mufasa,Emerald/Amethyst,Emerald/Amethyst,510,482,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Green/Purple: Total Wins: 510 || Total Losses: 482 || Win Rate: 51.41%,Season 3
Ruby/Amber,Mufasa,Sapphire/Steel,Wheel,626,629,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Blue/Grey - Wheel: Total Wins: 626 || Total Losses: 629 || Win Rate: 49.88%,Season 3
Ruby/Amber,Mufasa,Ruby/Amethyst,RP,1605,1491,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Red/Purple - RP: Total Wins: 1605 || Total Losses: 1491 || Win Rate: 51.84%,Season 3
Ruby/Amber,Mufasa,Sapphire/Amethyst,Blurple,108,125,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Blue/Purple - Blurple: Total Wins: 108 || Total Losses: 125 || Win Rate: 46.35%,Season 3
Ruby/Amber,Mufasa,Amethyst/Steel,Jafar,280,208,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Purple/Grey - Jafar: Total Wins: 280 || Total Losses: 208 || Win Rate: 57.38%,Season 3
Ruby/Amber,Mufasa,Emerald/Amber,Emerald/Amber,235,212,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Green/Orange: Total Wins: 235 || Total Losses: 212 || Win Rate: 52.57%,Season 3
Ruby/Amber,Mufasa,Amber/Steel,Amber/Steel,270,304,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Orange/Grey: Total Wins: 270 || Total Losses: 304 || Win Rate: 47.04%,Season 3
Ruby/Amber,Mufasa,Ruby/Sapphire,Dime Control,1179,1107,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Red/Blue - Dime Control: Total Wins: 1179 || Total Losses: 1107 || Win Rate: 51.57%,Season 3
Ruby/Amber,Mufasa,Emerald/Steel,Emerald/Steel,308,301,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Green/Grey: Total Wins: 308 || Total Losses: 301 || Win Rate: 50.57%,Season 3
Ruby/Amber,Mufasa,Amber/Steel,Steelsong w/ Lantern,193,197,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Orange/Grey - Steelsong w/ Lantern: Total Wins: 193 || Total Losses: 197 || Win Rate: 49.49%,Season 3
Ruby/Amber,Mufasa,Amethyst/Steel,Midrange,182,186,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Purple/Grey - Midrange: Total Wins: 182 || Total Losses: 186 || Win Rate: 49.46%,Season 3
Ruby/Amber,Mufasa,Amethyst/Steel,Aggro,92,106,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Purple/Grey - Aggro: Total Wins: 92 || Total Losses: 106 || Win Rate: 46.46%,Season 3
Ruby/Amber,Mufasa,Amber/Amethyst,Hyperaggro,237,237,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Orange/Purple - Hyperaggro: Total Wins: 237 || Total Losses: 237 || Win Rate: 50.00%,Season 3
Ruby/Amber,Mufasa,Emerald/Steel,Bucky Discard,371,354,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Green/Grey - Bucky Discard: Total Wins: 371 || Total Losses: 354 || Win Rate: 51.17%,Season 3
Ruby/Amber,Mufasa,Ruby/Sapphire,Ruby/Sapphire,155,126,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Red/Blue: Total Wins: 155 || Total Losses: 126 || Win Rate: 55.16%,Season 3
Ruby/Amber,Mufasa,Amber/Steel,Steelsong w/ Flutes,624,593,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Orange/Grey - Steelsong w/ Flutes: Total Wins: 624 || Total Losses: 593 || Win Rate: 51.27%,Season 3
Ruby/Amber,Mufasa,Amethyst/Steel,Amethyst/Steel,162,160,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Purple/Grey: Total Wins: 162 || Total Losses: 160 || Win Rate: 50.31%,Season 3
Ruby/Amber,Mufasa,Sapphire/Emerald,Sapphire/Emerald,94,83,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Blue/Green: Total Wins: 94 || Total Losses: 83 || Win Rate: 53.11%,Season 3
Ruby/Amber,Mufasa,Amber/Amethyst,Amber/Amethyst,118,141,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Orange/Purple: Total Wins: 118 || Total Losses: 141 || Win Rate: 45.56%,Season 3
Ruby/Amber,Mufasa,Amber/Steel,Steelsong w/ Pridelands,268,248,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Orange/Grey - Steelsong w/ Pridelands: Total Wins: 268 || Total Losses: 248 || Win Rate: 51.94%,Season 3
Ruby/Amber,Mufasa,Sapphire/Steel,Sapphire/Steel,118,124,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Blue/Grey: Total Wins: 118 || Total Losses: 124 || Win Rate: 48.76%,Season 3
Ruby/Amber,Mufasa,Emerald/Amethyst,Tempo,486,446,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Green/Purple - Tempo: Total Wins: 486 || Total Losses: 446 || Win Rate: 52.15%,Season 3
Ruby/Amber,Mufasa,Ruby/Emerald,Ruby/Emerald,209,213,All Games,2024-04-29,Red,Orange,Ruby,Amber,False,vs Red/Green: Total Wins: 209 || Total Losses: 213 || Win Rate: 49.53%,Season 3
